,Column1,Год,Строительство,Индекс_ном_зп_строительство,реал_изменение_строительство,Реал_строительство,Рекламная деятельность,Индекс_ном_зп_реклама,реал_изменение_реклама,Реал_реклама,Инфляция
0,0,2002,4806.9,100.0,0.0,4806.9,6685.7,0.0,0.0,6685.7,15.06
1,1,2003,6176.7,128.4965362,14.73929478,5515.403161,8429.7,126.0855258,12.5864147,7527.189928,11.99
2,2,2004,7304.7,118.2621788,5.83692396,5837.33305,11773.1,139.6621469,24.98849734,9408.121583,11.74
3,3,2005,9042.8,123.7942694,11.61686903,6515.448385,23119.1,196.3722384,77.05548499,16657.5953,10.91
4,4,2006,10869.2,120.197284,10.27273764,7184.763304,30021.7,129.8566986,19.13458585,19844.95717,9.0
5,5,2007,14333.4,131.8717109,17.87942334,8469.357551,40758.9,135.7647968,21.3594322,24083.72734,11.87
6,6,2008,18574.0,129.5854438,14.3939299,9688.430939,29444.5,72.240664,-36.2282274,15358.61983,13.28
7,7,2009,18122.2,97.56756757,-10.32392687,8688.204414,29285.8,99.46101988,-8.583621429,14040.29405,8.8
8,8,2010,21171.7,116.8274271,7.397892199,9330.948411,34862.6,119.042676,9.434340846,15364.90325,8.78
9,9,2011,23682.0,111.8568655,5.425886459,9837.235077,38256.7,109.7356479,3.426623887,15891.40069,6.1
10,10,2012,25950.6,109.5794274,2.814249778,10114.07944,37153.8,97.11710628,-8.878676783,14480.45459,6.58
11,11,2013,27701.4,106.7466648,0.278689354,10142.26631,44231.2,119.0489264,11.83553439,16194.29377,6.45
12,12,2014,29354.3,105.9668464,-4.842989906,9651.077373,52423.3,118.5210892,6.430575778,17235.6801,11.36
13,13,2015,29960.0,102.0634115,-9.606402007,8723.956082,43408.2,82.80325733,-26.66437222,12639.89421,12.91
14,14,2016,32331.8,107.9165554,2.407055805,8933.946574,54922.6,126.5258638,20.066297,15176.25292,5.38
15,15,2017,43711.7,135.1972362,31.87401108,11781.55369,48741.2,88.74525241,-13.43615645,13137.14783,2.52
16,16,2018,50086.8,114.5844248,9.892034876,12946.98909,55501.5,113.8697857,9.206661288,14346.64054,4.27
17,17,2019,53153.9,106.1235695,2.982600178,13333.14601,59804.8,107.7534841,4.564273789,15001.46049,3.05
18,18,2020,55864.6,105.0997199,1.047706826,13472.8383,69523.3,116.2503679,11.7684529,16766.9003,4.01
19,19,2021,61631.5,110.3229952,1.78337046,13713.10891,76230.9,109.6479885,1.160613079,16961.49914,8.39
20,20,2022,72704.3,117.9661374,5.402195717,14453.9179,91782.2,120.4002576,7.577070799,18246.68394,11.92
